payment_id,merchant_id,payment_type,status,created_at,payment_time,amount,currency,channel,payment_method_type,card_number,card_cvv,card_exp_month,card_exp_year,customer_name,customer_email,customer_phone,billing_address,ip_address,device_id,export_batch_id
trx_r44yjqsh8yvl46xx4v,vnd_1qwb,transfer_in,successful,2025-05-17T16:14:25.610769Z,2025-05-17T16:44:25.610769Z,958.47,EUR,online,['bank_transfer'],**** **** **** 1428,144,2,2028,Quinn Dawson,dakota.sutton.875@example.test,+31247768654,"24 Calle Mayor, Berlin",164.177.158.137,dev_4o0xt2xdxsrc,exp_md5v3ns4bd
trx_vku0hejuwpas1em1yx,vnd_5goi,transaction_out,failed,2025-12-22T17:07:36.573754Z,2025-12-22T19:02:36.573754Z,405.65,EUR,pos,wallet,**** **** **** 0626,458,4,2035,Reese Palmer,cameron.jordan.173@example.test,+49154853900,"181 Baker Street, Berlin",54.98.82.187,dev_yo6qxzeii8kq,exp_md5v3ns4bd
trx_j23z6g8m8tlrhkbviy,ldg_ohvkc3,transfer_out,successful,2025-07-25T15:10:20.200155Z,2025-07-25T16:44:20.200155Z,1694.91,USD,api,['bank_transfer'],**** **** **** 5544,457,9,2029,Jordan Palmer,skyler.reed.895@example.test,+44945210228,"173 Via Roma, Porto",112.65.81.232,dev_opapzcmojsup,exp_md5v3ns4bd
trx_p9rd24irg9k8yuerqt,ldg_ur9fx3,transfer_in,successful,2025-10-01T15:15:46.417709Z,2025-10-01T15:55:46.417709Z,731.14,EUR,link,['bank_transfer'],**** **** **** 1708,122,5,2033,Rowan Bennett,morgan.quincy.145@example.test,+31783288358,"138 Unter den Linden, Berlin",62.2.7.68,dev_tk7se3x3ubon,exp_md5v3ns4bd
trx_tyodfl5kx10tr8tdd8,ldg_du46aq,transfer_in,pending,2025-11-11T00:27:04.987785Z,2025-11-11T00:47:04.987785Z,287.23,EUR,api,['bank_transfer'],**** **** **** 9908,049,8,2034,Skyler Keller,jordan.perry.404@example.test,+34237405064,"183 Unter den Linden, Lisbon",221.214.67.219,dev_ha81nkdvmi67j,exp_md5v3ns4bd
trx_wada7cme4feheiljac,ldg_x90qoi,transfer_out,successful,2025-09-26T05:14:21.556122Z,2025-09-26T06:17:21.556122Z,1910.1,USD,api,['bank_transfer'],**** **** **** 5492,153,9,2034,Cameron Brooks,reese.reed.495@example.test,+44320644379,"145 Via Roma, Berlin",113.10.202.248,dev_1qc5ewpbkr5w,exp_md5v3ns4bd
trx_7gfv15pdm55a6i1982,ldg_ohvkc3,transaction_in,pending,2025-06-21T22:56:03.695309Z,2025-06-22T00:45:03.695309Z,1795.44,EUR,pos,wallet,**** **** **** 0575,955,3,2033,Avery Blake,dakota.jordan.889@example.test,+353342530069,"23 Avenida da Liberdade, Porto",134.137.30.61,dev_opapzcmojsup,exp_md5v3ns4bd
trx_3ms6h7adjavr9z8lwl,ldg_kju8ju,transaction_in,successful,2025-03-22T08:57:39.009156Z,2025-03-22T10:12:39.009156Z,2220.35,EUR,invoice,card,**** **** **** 5234,958,7,2028,Jamie Bennett,bailey.hayes.930@example.test,+31198357765,"55 Rue de Rivoli, Hamburg",149.247.107.146,dev_mfp2rtmlf6g4,exp_md5v3ns4bd
trx_xh81me70op78soyyhc,vnd_4buk,transaction_in,refunded,2025-09-18T10:52:20.615436Z,2025-09-18T12:21:20.615436Z,216.51,GBP,api,card,**** **** **** 9140,160,8,2031,Logan Shaw,parker.hayden.423@example.test,+33989358340,"174 Calle Mayor, Rome",87.111.167.47,dev_vh4isy18so0z,exp_md5v3ns4bd
trx_gr6rkrsmvp4nc50235,ldg_kju8ju,transfer_out,successful,2025-06-10T12:26:53.119335Z,2025-06-10T14:00:53.119335Z,1590.35,USD,pos,['bank_transfer'],**** **** **** 7147,488,8,2033,Riley Perry,bailey.shaw.262@example.test,+39619759979,"188 Avenida da Liberdade, Berlin",218.82.247.57,dev_mfp2rtmlf6g4,exp_md5v3ns4bd
trx_96z6sbqomh7mqjmjh4,ldg_l7i3by,transaction_in,successful,2025-08-16T12:52:15.130945Z,2025-08-16T14:27:15.130945Z,1370.78,EUR,online,card,**** **** **** 4950,161,12,2029,Dakota Sutton,morgan.palmer.473@example.test,+39115508165,"125 Avenida da Liberdade, Madrid",120.199.58.99,dev_5cjvbdethvmn,exp_md5v3ns4bd
trx_cdwc777qi7fw3jlopb,ldg_kju8ju,transfer_in,pending,2025-10-26T03:51:58.470803Z,2025-10-26T05:37:58.470803Z,187.95,USD,api,['bank_transfer'],**** **** **** 1192,961,11,2032,Bailey Perry,bailey.keller.698@example.test,+49845781399,"125 Calle Mayor, London",242.5.31.58,dev_54539jthpfv5,exp_md5v3ns4bd
trx_o0onq58czagon0n39r,ldg_kju8ju,transfer_out,pending,2025-11-27T13:14:43.889512Z,2025-11-27T14:42:43.889512Z,864.53,EUR,api,['bank_transfer'],**** **** **** 9040,739,5,2034,Dakota Quincy,morgan.palmer.657@example.test,+33244446000,"51 Rue de Rivoli, Amsterdam",210.210.59.219,dev_161ajbxdgmj1p,exp_md5v3ns4bd
trx_9tebxizk0zswr3ryci,ldg_du46aq,transaction_out,pending,2025-08-22T02:24:21.539693Z,2025-08-22T03:34:21.539693Z,218.06,EUR,pos,wallet,**** **** **** 9810,184,6,2036,Reese Hayes,avery.ellis.775@example.test,+39481988343,"87 Calle Mayor, Dublin",56.164.233.234,dev_lnih9w01klcp,exp_md5v3ns4bd
trx_9voa5w67leks4zessh,vnd_w1t3,transaction_out,successful,2025-06-27T17:11:32.268056Z,2025-06-27T18:57:32.268056Z,876.82,USD,pos,wallet,**** **** **** 2207,107,10,2036,Quinn Carter,emerson.sutton.327@example.test,+39505072889,"183 Rue de Rivoli, Rome",111.167.133.16,dev_4o0xt2xdxsrc,exp_md5v3ns4bd
trx_gyg97d4tzldvmh5llh,ldg_ohvkc3,transaction_in,refunded,2025-04-21T02:03:30.560180Z,2025-04-21T02:09:30.560180Z,1388.56,EUR,invoice,wallet,**** **** **** 6303,709,10,2033,Morgan Rowe,parker.sutton.597@example.test,+49346060695,"53 Rue de Rivoli, Berlin",65.36.20.78,dev_opapzcmojsup,exp_md5v3ns4bd
trx_gyg97d4tzldvmh5llh,ldg_ohvkc3,transaction_in,refunded,2025-04-21T02:03:30.560180Z,Null,1388.56,EUR,invoice,wallet,**** **** **** 6303,709,10,2033,Morgan Rowe,parker.sutton.597@example.test,+49346060695,"53 Rue de Rivoli, Berlin",65.36.20.78,dev_opapzcmojsup,exp_md5v3ns4bd
trx_iggdqsa5tnl4rrr52i,vnd_h6dq,transaction_in,successful,2025-03-01T00:03:14.659520Z,2025-03-01T00:52:14.659520Z,1792.07,EUR,online,card,**** **** **** 9035,237,11,2029,Reese Hayes,skyler.harper.793@example.test,+33994677575,"50 Rue de Rivoli, Rome",189.58.28.112,dev_4o0xt2xdxsrc,exp_md5v3ns4bd
trx_1h7vcggs502mctdfl1,vnd_fpfp,transfer_out,successful,2025-04-11T14:19:36.944259Z,2025-04-11T16:01:36.944259Z,2221.84,EUR,api,['bank_transfer'],**** **** **** 8901,714,9,2036,Emerson Blake,jordan.palmer.917@example.test,+34916147084,"93 Unter den Linden, Berlin",227.242.177.169,dev_4o0xt2xdxsrc,exp_md5v3ns4bd
trx_7g394evtp5it8zso5x,ldg_du46aq,transaction_in,successful,2025-04-08T13:40:54.491462Z,2025-04-08T14:24:54.491462Z,1927.64,EUR,link,card,**** **** **** 8643,316,6,2033,Skyler Keller,rowan.blake.525@example.test,+44231052893,"121 Baker Street, Dublin",19.139.145.28,dev_lnih9w01klcp,exp_md5v3ns4bd
trx_7oanav2m3l5w58j2pb,vnd_4buk,transaction_out,failed,2025-12-25T02:14:53.685445Z,2025-12-25T03:40:53.685445Z,1832.81,GBP,api,card,**** **** **** 7711,719,8,2032,Jordan Harper,reese.jordan.946@example.test,+31061062523,"134 Unter den Linden, Dublin",222.105.28.199,dev_oys5efndhgxc,exp_md5v3ns4bd
trx_pfmse0mx0lrdb5w1di,vnd_prqb,transaction_out,successful,2025-12-28T04:31:06.903945Z,2025-12-28T05:18:06.903945Z,1171.19,EUR,api,wallet,**** **** **** 3693,453,7,2026,Emerson Foster,avery.bennett.887@example.test,+44776440877,"53 Avenida da Liberdade, Lisbon",216.26.57.72,dev_oys5efndhgxc,exp_md5v3ns4bd
trx_iaxiwizxm9170lolk5,ldg_ohvkc3,transfer_out,successful,2025-04-14T12:42:30.451734Z,2025-04-14T13:36:30.451734Z,833.17,GBP,online,['bank_transfer'],**** **** **** 1056,927,12,2026,Quinn Foster,cameron.jordan.522@example.test,+31514878666,"8 Unter den Linden, Porto",48.234.41.151,dev_opapzcmojsup,exp_md5v3ns4bd
trx_l8lj3018ccyox5i84m,ldg_7mkswd,transaction_in,refunded,2025-05-26T08:44:00.096794Z,2025-05-26T10:00:00.096794Z,1308.85,USD,pos,card,**** **** **** 0635,506,11,2032,Parker Carter,rowan.hayes.781@example.test,+44134537272,"153 Unter den Linden, Hamburg",254.243.41.20,dev_4o0xt2xdxsrc,exp_md5v3ns4bd
trx_ysbhq29w7pskzzd2dy,ldg_9gdel3,transfer_in,refunded,2025-12-19T17:15:58.597263Z,2025-12-19T18:34:58.597263Z,2323.66,EUR,api,['bank_transfer'],**** **** **** 6469,344,2,2028,Quinn Carter,quinn.sutton.537@example.test,+351163440687,"102 Rue de Rivoli, London",20.95.76.94,dev_lqmee8ecxepo,exp_md5v3ns4bd
trx_323dww2vppna1lrcip,vnd_fpfp,transfer_out,successful,2025-06-30T00:43:57.668784Z,2025-06-30T02:39:57.668784Z,2349.45,EUR,online,['bank_transfer'],**** **** **** 2365,938,9,2035,Cameron Hayes,rowan.quincy.149@example.test,+33660944955,"33 Rue de Rivoli, Hamburg",119.76.16.57,dev_4o0xt2xdxsrc,exp_md5v3ns4bd
trx_zvju4uaillgwkrys7b,ldg_x90qoi,transfer_out,refunded,2025-06-20T17:07:22.440473Z,2025-06-20T18:06:22.440473Z,432.1,GBP,api,['bank_transfer'],**** **** **** 6222,572,2,2034,Riley Keller,casey.rowe.681@example.test,+31327457404,"187 Calle Mayor, Hamburg",29.13.251.197,dev_2gtn9khmccz5,exp_md5v3ns4bd
trx_s70k77m02pxqklotfa,ldg_ur9fx3,transaction_in,failed,2025-10-17T03:56:43.066594Z,2025-10-17T05:19:43.066594Z,611.19,EUR,link,wallet,**** **** **** 8712,280,5,2031,Jordan Sutton,morgan.bennett.261@example.test,+31302299961,"179 Baker Street, Porto",155.3.47.84,dev_tk7se3x3ubon,exp_md5v3ns4bd
trx_s70k77m02pxqklotfa,ldg_ur9fx3,transaction_in,failed,2025-10-17T03:56:43.066594Z,Null,611.19,EUR,link,wallet,**** **** **** 8712,280,5,2031,Jordan Sutton,morgan.bennett.261@example.test,+31302299961,"179 Baker Street, Porto",155.3.47.84,dev_tk7se3x3ubon,exp_md5v3ns4bd
trx_rn79hse5joaw58s8hd,vnd_b5qo,transfer_out,successful,2025-03-27T17:48:39.692196Z,2025-03-27T18:35:39.692196Z,972.6,USD,link,['bank_transfer'],**** **** **** 3470,422,8,2026,Sawyer Perry,harper.blake.864@example.test,+39305159917,"36 Baker Street, Hamburg",104.14.4.215,dev_4o0xt2xdxsrc,exp_md5v3ns4bd
trx_w8ktz9euuhhqbb5kin,ldg_ohvkc3,transaction_in,refunded,2025-10-01T23:17:32.239145Z,2025-10-02T00:56:32.239145Z,507.18,GBP,pos,card,**** **** **** 7154,212,4,2031,Bailey Perry,taylor.hayden.900@example.test,+39234867459,"171 Rue de Rivoli, Lisbon",94.123.52.13,dev_cyzrqh1wuiqs,exp_md5v3ns4bd
trx_aqka23xfqzugeqog2d,ldg_v1tqwt,transaction_in,pending,2025-09-05T14:41:26.402492Z,2025-09-05T15:35:26.402492Z,1955.59,GBP,online,wallet,**** **** **** 2458,078,4,2035,Logan Miller,harper.jordan.302@example.test,+31347957558,"115 Unter den Linden, Hamburg",18.185.177.28,dev_m8zm0434sw8f,exp_md5v3ns4bd
trx_0ahjouhbcaseprvoq4,vnd_w1t3,transfer_out,successful,2025-07-20T18:15:47.963574Z,2025-07-20T18:58:47.963574Z,232.44,EUR,link,['bank_transfer'],**** **** **** 3798,903,8,2029,Skyler Keller,reese.rowe.657@example.test,+39726826405,"128 Unter den Linden, Hamburg",178.166.160.104,dev_4o0xt2xdxsrc,exp_md5v3ns4bd
trx_b1bodkyc4587gfc7c3,ldg_du46aq,transfer_out,failed,2025-07-05T09:28:20.446761Z,2025-07-05T10:57:20.446761Z,2484.81,USD,online,['bank_transfer'],**** **** **** 2010,324,1,2026,Rowan Bennett,bailey.hayes.418@example.test,+33721723833,"164 Via Roma, Amsterdam",244.136.180.38,dev_lnih9w01klcp,exp_md5v3ns4bd
trx_yndu2eslt5ubgxroq6,ldg_l7i3by,transaction_in,successful,2025-07-18T02:48:09.868773Z,2025-07-18T03:08:09.868773Z,1724.14,USD,api,card,**** **** **** 8363,908,5,2034,Cameron Brooks,quinn.ellis.560@example.test,+34557769618,"101 Via Roma, Dublin",38.88.190.181,dev_5cjvbdethvmn,exp_md5v3ns4bd
trx_1vanpcx7b11p1k8b70,ldg_du46aq,transfer_in,pending,2025-05-09T20:38:49.087144Z,2025-05-09T22:18:49.087144Z,1171.05,USD,pos,['bank_transfer'],**** **** **** 9771,011,6,2032,Sawyer Hayes,logan.keller.855@example.test,+31415359616,"160 Rue de Rivoli, Dublin",230.72.75.118,dev_lnih9w01klcp,exp_md5v3ns4bd
trx_hr6aben8t4s2fb2dsx,vnd_w1t3,transfer_in,pending,2025-11-22T12:59:41.774013Z,2025-11-22T14:53:41.774013Z,972.85,EUR,pos,['bank_transfer'],**** **** **** 5735,328,7,2028,Jordan Foster,logan.harper.888@example.test,+353424463348,"36 Baker Street, London",167.156.38.14,dev_yo6qxzeii8kq,exp_md5v3ns4bd
trx_hr6aben8t4s2fb2dsx,vnd_w1t3,transfer_in,pending,2025-11-22T16:10:41.774013Z,2025-11-22T14:53:41.774013Z,972.85,EUR,api,['bank_transfer'],**** **** **** 5735,328,7,2028,Jordan Foster,logan.harper.888@example.test,+353424463348,"36 Baker Street, London",167.156.38.14,dev_yo6qxzeii8kq,exp_md5v3ns4bd
trx_73q1ibcpo9q6xtctpg,ldg_kju8ju,transfer_out,successful,2025-05-28T19:30:52.674101Z,2025-05-28T19:51:52.674101Z,624.83,EUR,invoice,['bank_transfer'],**** **** **** 7911,491,3,2032,Dakota Sutton,avery.jordan.872@example.test,+49923746171,"97 Unter den Linden, Madrid",134.35.86.93,dev_mfp2rtmlf6g4,exp_md5v3ns4bd
trx_4l3ioveujnnjsdf6j5,vnd_h6dq,transfer_in,pending,2025-08-11T21:03:57.377691Z,2025-08-11T21:08:57.377691Z,1224.94,EUR,api,['bank_transfer'],**** **** **** 4815,302,12,2029,Dakota Quincy,riley.palmer.753@example.test,+49726712640,"48 Via Roma, London",12.175.174.202,dev_4o0xt2xdxsrc,exp_md5v3ns4bd
trx_t1oorkcld5lku6ywoy,ldg_x90qoi,transfer_out,failed,2025-09-14T04:06:18.343942Z,2025-09-14T05:50:18.343942Z,117.1,EUR,pos,['bank_transfer'],**** **** **** 3699,850,6,2033,Jamie Bennett,avery.perry.926@example.test,+34731763037,"25 Baker Street, Paris",230.11.144.169,dev_1qc5ewpbkr5w,exp_md5v3ns4bd
trx_t5s45jnq4uyx0txjdn,ldg_7mkswd,transfer_out,refunded,2025-03-03T19:18:03.380837Z,2025-03-03T19:46:03.380837Z,162.05,EUR,online,['bank_transfer'],**** **** **** 2262,751,10,2031,Logan Hayden,casey.foster.038@example.test,+31799602199,"97 Via Roma, Porto",82.224.95.65,dev_4o0xt2xdxsrc,exp_md5v3ns4bd
trx_8ooae3zys6bb0fmg4h,ldg_ur9fx3,transaction_in,successful,2025-12-27T18:49:48.671391Z,2025-12-27T19:19:48.671391Z,1377.51,USD,api,card,**** **** **** 6247,573,2,2036,Reese Hayes,logan.miller.779@example.test,+39130731224,"73 Calle Mayor, Paris",230.230.92.71,dev_x2xa6lvfztq2,exp_md5v3ns4bd
trx_ecjerdevze5adep8x4,ldg_l7i3by,transaction_out,successful,2025-05-03T00:45:37.073119Z,2025-05-03T01:39:37.073119Z,1549.55,EUR,link,wallet,**** **** **** 2706,396,1,2030,Cameron Hayes,reese.ellis.664@example.test,+39451660026,"17 Baker Street, Rome",189.67.60.125,dev_5cjvbdethvmn,exp_md5v3ns4bd
trx_mpw1i3d1gv8oic7kj2,ldg_v1tqwt,transaction_out,refunded,2025-03-15T16:25:34.591471Z,2025-03-15T18:15:34.591471Z,349.54,EUR,api,wallet,**** **** **** 0123,486,9,2036,Dakota Keller,dakota.reed.265@example.test,+33008755531,"13 Calle Mayor, Madrid",60.195.125.139,dev_m8zm0434sw8f,exp_md5v3ns4bd
trx_qb75nse4pq3wxo075e,ldg_ur9fx3,transfer_in,pending,2025-10-17T12:11:35.729831Z,2025-10-17T13:10:35.729831Z,1350.01,EUR,api,['bank_transfer'],**** **** **** 4607,682,3,2034,Casey Quincy,sawyer.rowe.640@example.test,+353154277136,"77 Via Roma, London",181.26.155.130,dev_tk7se3x3ubon,exp_md5v3ns4bd
trx_s59jncyc5l73bztor6,ldg_du46aq,transfer_out,successful,2025-03-02T22:26:28.561141Z,2025-03-02T22:44:28.561141Z,2099.48,EUR,link,['bank_transfer'],**** **** **** 4072,229,2,2026,Riley Perry,dakota.foster.888@example.test,+49309773980,"34 Via Roma, Berlin",74.136.219.114,dev_lnih9w01klcp,exp_md5v3ns4bd
trx_ctxk8tuq2j048q1f2f,ldg_kju8ju,transaction_out,successful,2025-06-06T20:28:18.649186Z,2025-06-06T22:14:18.649186Z,1106.61,GBP,link,wallet,**** **** **** 6682,238,4,2033,Quinn Foster,riley.ellis.688@example.test,+33699370884,"172 Unter den Linden, London",48.137.188.150,dev_mfp2rtmlf6g4,exp_md5v3ns4bd
trx_nof6yl33w5vi1vp85p,ldg_x90qoi,transfer_out,refunded,2025-11-27T14:02:10.752147Z,2025-11-27T15:24:10.752147Z,330.09,EUR,pos,['bank_transfer'],**** **** **** 0226,270,4,2026,Dakota Rowe,harper.reed.411@example.test,+39771060936,"92 Calle Mayor, Berlin",122.184.151.228,dev_x5m9i5uls5gxv,exp_md5v3ns4bd
trx_957srg7qu9ma3ith2l,ldg_l7i3by,transfer_out,successful,2025-05-07T18:14:37.462362Z,2025-05-07T18:23:37.462362Z,1785.65,EUR,link,['bank_transfer'],**** **** **** 9348,470,8,2035,Taylor Hayes,morgan.quincy.322@example.test,+39568438231,"129 Baker Street, Hamburg",30.147.168.116,dev_5cjvbdethvmn,exp_md5v3ns4bd
trx_957srg7qu9ma3ith2l,ldg_l7i3by,transfer_out,successful,2025-05-07T19:10:37.462362Z,2025-05-07T18:23:37.462362Z,1829.65,EUR,link,['bank_transfer'],**** **** **** 9348,470,8,2035,Taylor Hayes,morgan.quincy.322@example.test,+39568438231,"129 Baker Street, Hamburg",30.147.168.116,dev_5cjvbdethvmn,exp_md5v3ns4bd
trx_s1ik8p8j31mdu5c6f7,vnd_4buk,transaction_in,successful,2025-09-25T13:45:16.920108Z,2025-09-25T15:31:16.920108Z,257.74,EUR,online,wallet,**** **** **** 5385,947,11,2030,Jordan Harper,parker.palmer.714@example.test,+353336426307,"21 Baker Street, London",48.241.127.131,dev_vh4isy18so0z,exp_md5v3ns4bd
trx_t75btafye1dxid2gs5,ldg_ur9fx3,transaction_out,successful,2025-06-27T02:25:47.873372Z,2025-06-27T02:45:47.873372Z,1669.93,EUR,online,wallet,**** **** **** 3643,697,2,2035,Cameron Hayes,jordan.keller.591@example.test,+33777741303,"105 Unter den Linden, Porto",193.120.95.52,dev_u2a39cd7jopc,exp_md5v3ns4bd
trx_2xwrs7qprdsg3q399f,ldg_l7i3by,transaction_in,successful,2025-07-30T04:09:12.822787Z,2025-07-30T04:31:12.822787Z,2129.28,EUR,online,wallet,**** **** **** 1090,470,3,2027,Sawyer Miller,taylor.rowe.806@example.test,+34250752567,"122 Unter den Linden, Paris",225.67.120.37,dev_5cjvbdethvmn,exp_md5v3ns4bd
trx_fp6umzp73aicehj05a,ldg_ur9fx3,transfer_out,successful,2025-04-28T23:52:34.079116Z,2025-04-29T01:08:34.079116Z,585.26,EUR,online,['bank_transfer'],**** **** **** 9201,980,8,2036,Jordan Palmer,sawyer.shaw.623@example.test,+31758482666,"94 Calle Mayor, Rome",51.223.77.250,dev_u2a39cd7jopc,exp_md5v3ns4bd
trx_b37spbdcf4gnnicsta,ldg_x90qoi,transfer_in,successful,2025-07-22T19:28:25.751961Z,2025-07-22T19:49:25.751961Z,2264.01,USD,pos,['bank_transfer'],**** **** **** 6029,988,4,2027,Riley Hayden,dakota.dawson.190@example.test,+353712016315,"194 Unter den Linden, Dublin",156.217.77.42,dev_2gtn9khmccz5,exp_md5v3ns4bd
trx_z51ccidp43sjz4adtx,vnd_fpfp,transfer_in,successful,2025-06-09T15:08:24.273566Z,2025-06-09T16:52:24.273566Z,309.14,EUR,pos,['bank_transfer'],**** **** **** 1308,595,6,2032,Dakota Foster,jordan.jordan.895@example.test,+34533236702,"136 Via Roma, Paris",67.62.142.20,dev_4o0xt2xdxsrc,exp_md5v3ns4bd
trx_bbm7crmriu177wy7eu,ldg_l7i3by,transaction_in,successful,2025-03-03T20:19:24.235549Z,2025-03-03T21:38:24.235549Z,1714.97,EUR,invoice,wallet,**** **** **** 8567,880,8,2033,Rowan Sutton,logan.miller.773@example.test,+44909082630,"7 Rue de Rivoli, Rome",28.236.7.159,dev_5cjvbdethvmn,exp_md5v3ns4bd
trx_x7l9o6ucwkxp5vmofn,vnd_w1t3,transaction_out,successful,2025-05-24T15:32:14.215075Z,2025-05-24T17:09:14.215075Z,1690.0,USD,link,card,**** **** **** 0779,353,2,2030,Jamie Reed,harper.harper.850@example.test,+49906116736,"178 Via Roma, Porto",179.226.123.57,dev_4o0xt2xdxsrc,exp_md5v3ns4bd
trx_s1nu9160u1q6hs8322,ldg_ur9fx3,transaction_out,refunded,2025-04-26T19:11:27.840202Z,2025-04-26T20:52:27.840202Z,1325.8,EUR,online,wallet,**** **** **** 3540,364,9,2030,Quinn Reed,avery.shaw.555@example.test,+33147911706,"45 Unter den Linden, Lisbon",94.249.44.230,dev_u2a39cd7jopc,exp_md5v3ns4bd
trx_v19oy5gos02mwbf9g9,vnd_mqyv,transfer_in,successful,2025-12-22T20:44:40.513776Z,2025-12-22T21:23:40.513776Z,1171.14,GBP,api,['bank_transfer'],**** **** **** 0941,841,4,2036,Dakota Brooks,jordan.shaw.955@example.test,+34655722456,"188 Calle Mayor, Madrid",184.107.122.215,dev_yo6qxzeii8kq,exp_md5v3ns4bd
trx_v19oy5gos02mwbf9g9,vnd_mqyv,transfer_in,successful,2025-12-22T20:44:40.513776Z,Null,1171.14,GBP,api,['bank_transfer'],**** **** **** 0941,841,4,2036,Dakota Brooks,jordan.shaw.955@example.test,+34655722456,"188 Calle Mayor, Madrid",184.107.122.215,dev_yo6qxzeii8kq,exp_md5v3ns4bd
trx_4coj15pk81qvl8yske,ldg_du46aq,transaction_in,successful,2025-03-22T11:10:06.587532Z,2025-03-22T11:37:06.587532Z,1402.96,EUR,invoice,wallet,**** **** **** 8567,231,3,2027,Jordan Reed,avery.blake.148@example.test,+351872140991,"198 Baker Street, Hamburg",178.197.146.116,dev_lnih9w01klcp,exp_md5v3ns4bd
trx_12kacf1n2jixhwbzjd,vnd_h6dq,transaction_out,failed,2025-06-11T19:27:48.720107Z,2025-06-11T21:23:48.720107Z,1627.36,EUR,online,card,**** **** **** 1587,730,4,2032,Sawyer Miller,emerson.palmer.097@example.test,+351498419950,"185 Avenida da Liberdade, Amsterdam",70.168.74.115,dev_4o0xt2xdxsrc,exp_md5v3ns4bd
